,date,fake_merged,fake_merged_initiation,fake_merged_rt,fake_grinberg_initiation,fake_grinberg_rt,fake_grinberg_rb_initiation,fake_grinberg_rb_rt,fake_newsguard_initiation,fake_newsguard_rt,not_fake,not_fake_initiation,not_fake_rt,not_fake_conservative,not_fake_conservative_initiation,not_fake_conservative_rt,not_fake_liberal,not_fake_liberal_initiation,not_fake_liberal_rt,not_fake_shopping,not_fake_shopping_initiation,not_fake_shopping_rt,not_fake_sports,not_fake_sports_initiation,not_fake_sports_rt,n,nusers,subsets
37,2019-12-02,63.0,39.0,24.0,14.0,8.0,1.0,2.0,39.0,21.0,990.0,477.0,513.0,60.0,38.0,22.0,53.0,23.0,30.0,3.0,2.0,1.0,1.0,1.0,0.0,1053.0,393,F_la
38,2019-12-02,162.0,79.0,83.0,15.0,18.0,7.0,4.0,76.0,71.0,10362.0,4694.0,5668.0,288.0,134.0,154.0,863.0,309.0,554.0,111.0,64.0,47.0,14.0,8.0,6.0,10524.0,3552,F_ma
39,2019-12-02,49.0,14.0,35.0,6.0,13.0,3.0,4.0,10.0,29.0,13397.0,6880.0,6517.0,455.0,203.0,252.0,437.0,134.0,303.0,959.0,388.0,571.0,61.0,37.0,24.0,13446.0,1726,nfns_ha
40,2019-12-02,38.0,32.0,6.0,5.0,2.0,2.0,0.0,32.0,4.0,7172.0,4710.0,2462.0,235.0,126.0,109.0,264.0,107.0,157.0,136.0,73.0,63.0,8.0,1.0,7.0,7210.0,3733,nfns_la
41,2019-12-02,240.0,160.0,80.0,25.0,21.0,11.0,5.0,151.0,65.0,91899.0,60239.0,31660.0,3198.0,1871.0,1327.0,3344.0,1263.0,2081.0,2294.0,1530.0,764.0,191.0,77.0,114.0,92139.0,46993,nfns_ma
42,2019-12-02,341.0,77.0,264.0,31.0,87.0,27.0,63.0,77.0,251.0,1085.0,281.0,804.0,123.0,33.0,90.0,23.0,10.0,13.0,2.0,0.0,2.0,1.0,1.0,0.0,1426.0,124,suspended_ha
43,2019-12-02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11,suspended_la
44,2019-12-02,73.0,22.0,51.0,14.0,13.0,3.0,9.0,13.0,48.0,439.0,268.0,171.0,46.0,22.0,24.0,9.0,4.0,5.0,10.0,8.0,2.0,0.0,0.0,0.0,512.0,141,suspended_ma
45,2019-12-03,38.0,26.0,12.0,9.0,0.0,1.0,0.0,19.0,12.0,1761.0,859.0,902.0,116.0,67.0,49.0,141.0,58.0,83.0,9.0,6.0,3.0,3.0,0.0,3.0,1799.0,151,A_ha
46,2019-12-03,3.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,69.0,40.0,29.0,4.0,1.0,3.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,72.0,36,A_la
47,2019-12-03,55.0,24.0,31.0,5.0,7.0,5.0,3.0,24.0,28.0,3027.0,1600.0,1427.0,162.0,62.0,100.0,140.0,61.0,79.0,16.0,13.0,3.0,11.0,2.0,9.0,3082.0,1112,A_ma
48,2019-12-03,1825.0,326.0,1499.0,129.0,511.0,77.0,323.0,316.0,1399.0,15712.0,4572.0,11140.0,1016.0,217.0,799.0,1192.0,219.0,973.0,363.0,37.0,326.0,4.0,2.0,2.0,17537.0,1333,D_ha
49,2019-12-03,14.0,2.0,12.0,0.0,5.0,0.0,5.0,2.0,12.0,251.0,152.0,99.0,24.0,19.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,73,D_la
50,2019-12-03,911.0,286.0,625.0,80.0,164.0,51.0,95.0,278.0,602.0,8149.0,4314.0,3835.0,740.0,314.0,426.0,475.0,184.0,291.0,69.0,33.0,36.0,11.0,4.0,7.0,9060.0,2705,D_ma
51,2019-12-03,291.0,102.0,189.0,20.0,59.0,3.0,32.0,96.0,168.0,10846.0,2926.0,7920.0,341.0,104.0,237.0,1079.0,207.0,872.0,50.0,11.0,39.0,12.0,3.0,9.0,11137.0,1058,F_ha
